PED,BIC,AVS,FTC,ZCD,POP,AHI,ZHV,ALB,APP
1,1,0,2,15201,14326,27031,129000,2920,0
1,0,0,1,15201,14326,27031,129000,2920,0
1,0,2,1,15201,14326,27031,129000,2920,1
1,2,2,4,15201,14326,27031,129000,2920,0
0,1,1,3,15201,14326,27031,129000,2920,3
1,2,1,2,15201,14326,27031,129000,2920,4
1,1,1,1,15201,14326,27031,129000,2920,4
1,1,1,4,15201,14326,27031,129000,2920,3
1,0,1,2,15201,14326,27031,129000,2920,3
2,1,2,2,15201,14326,27031,129000,2920,1
1,1,2,1,15201,14326,27031,129000,2920,1
0,1,1,4,15201,14326,27031,129000,2920,4
1,1,1,3,15201,14326,27031,129000,2920,4
1,1,1,3,15201,14326,27031,129000,2920,3
0,1,2,0,15201,14326,27031,129000,2920,3
1,1,1,3,15201,14326,27031,129000,2920,4
0,1,1,3,15201,14326,27031,129000,2920,4
1,1,1,3,15201,14326,27031,129000,2920,2
1,1,1,4,15201,14326,27031,129000,2920,4
1,1,2,1,15201,14326,27031,129000,2920,4
0,1,1,3,15201,14326,27031,129000,2920,4
1,0,1,4,15201,14326,27031,129000,2920,4
1,0,1,2,15201,14326,27031,129000,2920,3
1,1,1,4,15201,14326,27031,129000,2920,4
0,1,1,1,15201,14326,27031,129000,2920,4
1,1,1,4,15201,14326,27031,129000,2920,4
1,1,1,4,15201,14326,27031,129000,2920,4
1,1,1,4,15201,14326,27031,129000,2920,4
1,0,1,3,15201,14326,27031,129000,2920,2
1,1,1,2,15201,14326,27031,129000,2920,4
1,1,2,3,15201,14326,27031,129000,2920,1
1,1,1,1,15201,14326,27031,129000,2920,3
1,0,2,1,15201,14326,27031,129000,2920,2
0,0,2,3,15201,14326,27031,129000,2920,1
1,2,1,3,15201,14326,27031,129000,2920,4
0,1,1,3,15201,14326,27031,129000,2920,3
0,0,0,2,15201,14326,27031,129000,2920,0
2,2,1,2,15201,14326,27031,129000,2920,4
0,1,2,2,15201,14326,27031,129000,2920,1
1,1,1,3,15201,14326,27031,129000,2920,4
0,0,1,4,15201,14326,27031,129000,2920,4
0,0,1,3,15201,14326,27031,129000,2920,3
0,0,1,3,15201,14326,27031,129000,2920,3
1,1,1,2,15201,14326,27031,129000,2920,4
0,0,1,4,15201,14326,27031,129000,2920,0
0,0,1,3,15201,14326,27031,129000,2920,4
0,0,0,0,15201,14326,27031,129000,2920,1
1,2,1,1,15201,14326,27031,129000,2920,2
1,1,1,2,15201,14326,27031,129000,2920,4
1,1,2,2,15201,14326,27031,129000,2920,1
0,1,1,3,15201,14326,27031,129000,2920,3
1,0,1,4,15201,14326,27031,129000,2920,4
1,1,1,2,15201,14326,27031,129000,2920,4
1,1,0,0,15201,14326,27031,129000,2920,0
0,2,1,2,15201,14326,27031,129000,2920,4
1,0,1,2,15201,14326,27031,129000,2920,4
1,0,1,2,15201,14326,27031,129000,2920,4
1,1,1,2,15201,14326,27031,129000,2920,3
1,1,1,2,15201,14326,27031,129000,2920,3
1,2,1,1,15201,14326,27031,129000,2920,3
1,0,1,2,15201,14326,27031,129000,2920,4
1,1,2,2,15201,14326,27031,129000,2920,4
0,2,1,2,15201,14326,27031,129000,2920,4
0,0,0,1,15201,14326,27031,129000,2920,0
0,0,1,2,15201,14326,27031,129000,2920,3
1,0,1,1,15201,14326,27031,129000,2920,4
2,0,1,2,15201,14326,27031,129000,2920,4
1,1,1,3,15201,14326,27031,129000,2920,3
0,0,1,3,15201,14326,27031,129000,2920,4
0,1,2,1,15202,21022,34727,132700,4666,3
1,0,1,1,15202,21022,34727,132700,4666,4
0,1,2,2,15202,21022,34727,132700,4666,2
1,1,1,2,15202,21022,34727,132700,4666,4
1,1,1,2,15202,21022,34727,132700,4666,4
0,2,1,0,15202,21022,34727,132700,4666,4
0,1,2,1,15202,21022,34727,132700,4666,1
0,0,0,1,15202,21022,34727,132700,4666,0
0,0,1,2,15202,21022,34727,132700,4666,4
0,0,2,1,15202,21022,34727,132700,4666,4
1,1,1,2,15202,21022,34727,132700,4666,4
0,1,1,2,15202,21022,34727,132700,4666,4
0,1,1,3,15202,21022,34727,132700,4666,4
0,1,1,4,15202,21022,34727,132700,4666,4
1,1,1,3,15202,21022,34727,132700,4666,4
0,0,1,2,15202,21022,34727,132700,4666,4
0,1,1,1,15203,9613,27595,168600,1761,4
2,2,2,3,15203,9613,27595,168600,1761,4
1,1,1,4,15203,9613,27595,168600,1761,4
1,1,2,2,15203,9613,27595,168600,1761,2
1,1,1,2,15203,9613,27595,168600,1761,4
1,1,1,2,15203,9613,27595,168600,1761,2
0,1,1,2,15203,9613,27595,168600,1761,4
1,1,2,1,15203,9613,27595,168600,1761,0
0,1,1,2,15203,9613,27595,168600,1761,4
1,2,1,2,15203,9613,27595,168600,1761,4
0,1,2,2,15203,9613,27595,168600,1761,1
0,1,1,2,15203,9613,27595,168600,1761,4
0,1,1,2,15203,9613,27595,168600,1761,4
0,1,2,2,15203,9613,27595,168600,1761,4
1,1,0,3,15203,9613,27595,168600,1761,4
1,0,2,2,15203,9613,27595,168600,1761,1
2,2,1,1,15203,9613,27595,168600,1761,3
0,1,1,2,15203,9613,27595,168600,1761,4
1,1,1,3,15203,9613,27595,168600,1761,4
0,1,1,2,15203,9613,27595,168600,1761,4
0,0,1,2,15203,9613,27595,168600,1761,0
0,0,1,1,15203,9613,27595,168600,1761,3
0,0,2,0,15203,9613,27595,168600,1761,0
0,0,1,4,15203,9613,27595,168600,1761,4
0,0,2,2,15203,9613,27595,168600,1761,4
0,1,1,2,15203,9613,27595,168600,1761,4
0,0,2,0,15203,9613,27595,168600,1761,2
0,1,1,2,15203,9613,27595,168600,1761,4
0,0,1,2,15203,9613,27595,168600,1761,4
0,0,2,1,15203,9613,27595,168600,1761,1
0,0,2,3,15203,9613,27595,168600,1761,4
0,1,1,2,15203,9613,27595,168600,1761,3
0,0,1,1,15203,9613,27595,168600,1761,4
0,0,1,2,15203,9613,27595,168600,1761,4
0,0,1,3,15203,9613,27595,168600,1761,4
2,0,1,1,15203,9613,27595,168600,1761,4
0,0,0,2,15204,9502,32859,72700,1899,0
2,1,2,3,15204,9502,32859,72700,1899,3
0,1,2,2,15204,9502,32859,72700,1899,4
2,2,1,2,15204,9502,32859,72700,1899,3
0,0,2,2,15204,9502,32859,72700,1899,2
0,0,1,2,15204,9502,32859,72700,1899,4
1,1,1,3,15205,22586,38507,128700,5531,3
0,1,1,2,15205,22586,38507,128700,5531,3
1,1,1,3,15205,22586,38507,128700,5531,3
0,1,2,2,15205,22586,38507,128700,5531,4
0,0,1,2,15205,22586,38507,128700,5531,1
0,0,2,2,15205,22586,38507,128700,5531,2
1,1,1,2,15205,22586,38507,128700,5531,3
0,0,2,2,15205,22586,38507,128700,5531,4
0,0,1,2,15206,32482,28517,165800,6623,4
1,0,1,2,15206,32482,28517,165800,6623,4
0,1,2,1,15206,32482,28517,165800,6623,2
0,0,1,3,15206,32482,28517,165800,6623,2
0,1,1,2,15206,32482,28517,165800,6623,4
1,1,2,1,15206,32482,28517,165800,6623,1
0,1,2,2,15206,32482,28517,165800,6623,2
1,0,1,3,15206,32482,28517,165800,6623,2
1,0,2,1,15206,32482,28517,165800,6623,2
1,1,2,2,15206,32482,28517,165800,6623,0
1,1,0,2,15206,32482,28517,165800,6623,0
1,0,1,2,15206,32482,28517,165800,6623,4
2,1,2,2,15206,32482,28517,165800,6623,1
1,1,1,1,15206,32482,28517,165800,6623,4
1,1,1,2,15206,32482,28517,165800,6623,3
1,1,1,3,15206,32482,28517,165800,6623,3
1,1,2,3,15206,32482,28517,165800,6623,4
1,1,1,2,15206,32482,28517,165800,6623,4
0,1,1,2,15206,32482,28517,165800,6623,3
1,1,2,1,15206,32482,28517,165800,6623,1
1,2,1,0,15206,32482,28517,165800,6623,4
1,1,1,1,15206,32482,28517,165800,6623,4
0,1,1,2,15206,32482,28517,165800,6623,4
