"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,61639,"10025","NY","New York","New York","New York",0,1151500,0.00409836065573771,0.00261210274270788,0.081728511038046,0.0874821551953426,,"2016-12","2016-Q4",1163600,-0.0103987624613269,"2016-11"
2017-04-30,84654,"60657","IL","Chicago","Cook","Chicago",1,325500,0.00431965442764579,0.014018691588785,0.025843050740624,0.0449182553633656,0.00189361321212478,"2017-04","2017-Q2",325500,0,"2017-04"
2017-04-30,84616,"60614","IL","Chicago","Cook","Chicago",2,404800,-0.0243432152325862,-0.0318105716335805,0.00148441365660564,0.0468968798139719,0.00393770925100889,"2017-02","2017-Q1",419300,-0.0345814452659194,"2016-10"
2017-04-30,93144,"79936","TX","El Paso","El Paso","El Paso",3,114600,-0.00174216027874564,-0.00261096605744125,0.0278026905829596,0.00460033580096897,-0.0113828297434619,"2007-12","2007-Q4",131100,-0.125858123569794,"2006-08"
2017-04-30,84640,"60640","IL","Chicago","Cook","Chicago",4,207100,0.00145067698259188,0.0186915887850467,0.0571720265441552,0.0500883729520774,-0.0135201105687719,"2007-02","2007-Q1",237800,-0.129100084104289,"2003-06"
2017-04-30,91733,"77084","TX","Houston","Harris","Houston",5,152900,-0.00325945241199478,-0.0242501595405233,0.0072463768115942,0.0710149903834907,0.0176167483727514,"2016-08","2016-Q3",161400,-0.0526641883519207,"2016-05"
2017-04-30,97564,"94109","CA","San Francisco","San Francisco","San Francisco",6,1141200,0.00422386483632524,0.00866183489482058,0.00237154150197628,0.10168282818909,0.0346830244472129,"2016-02","2016-Q1",1154500,-0.0115201385881334,"2016-01"
2017-04-30,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",7,311200,0.0048433968356474,0.0189914865749836,0.0831883049077619,0.0975466936609577,0.0434946360396482,"2017-04","2017-Q2",311200,0,"2017-04"
2017-04-30,62037,"11226","NY","New York","Kings","New York",8,642200,0.020174741858618,0.0469514183240952,0.191686769344962,0.120987073367131,0.0440021237863077,"2017-04","2017-Q2",642200,0,"2017-04"
2017-04-30,91940,"77449","TX","Houston","Harris","Cypress",9,155000,-0.00128865979381443,-0.0245437382001259,0.0130718954248366,0.0781470875194994,0.0148924672458008,"2016-11","2016-Q4",162600,-0.046740467404674,"2016-06"
2017-04-30,61630,"10016","NY","New York","New York","New York",10,994900,0.0128270385829176,0.0378677237638222,0.125707173568681,0.079844465405212,0.0367631662799484,"2017-04","2017-Q2",994900,0,"2017-04"
2017-04-30,71831,"32162","FL","The Villages","Sumter","The Villages",11,247800,0.00121212121212121,0.00323886639676113,0.00568181818181818,0.0444201200278083,-0.00120266018025506,"2007-01","2007-Q1",253800,-0.0236406619385343,"2006-09"
2017-04-30,84646,"60647","IL","Chicago","Cook","Chicago",12,333200,0.00120192307692308,0.0106157112526539,0.0864036517769808,0.0850912275634721,0.00819030682686384,"2017-04","2017-Q2",333200,0,"2017-04"
2017-04-30,74242,"37211","TN","Nashville","Davidson","Nashville",13,221500,0.0109539023277042,0.0278422273781903,0.14352090862158,0.107066989418883,0.04107463944872,"2017-04","2017-Q2",221500,0,"2017-04"
2017-04-30,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",14,571800,0.00527426160337553,0.0181623931623932,0.0987701767870869,0.104734376678483,,"2017-04","2017-Q2",571800,0,"2017-04"
2017-04-30,74101,"37013","TN","Nashville","Davidson","Nashville",15,182000,0.0116731517509728,0.0288298473713963,0.124150710315009,0.078033545152522,0.0202759957246388,"2017-04","2017-Q2",182000,0,"2017-04"
2017-04-30,84620,"60618","IL","Chicago","Cook","Chicago",16,334800,-0.00238379022646007,-0.00119331742243437,0.047887323943662,0.065055885114232,-0.00437323184717797,"2007-02","2007-Q1",351100,-0.0464255197949302,"2006-01"
2017-04-30,61703,"10128","NY","New York","New York","New York",17,1246200,0.036685799850262,0.0923913043478261,0.277891714520098,0.0859133701843384,0.0408921501718267,"2017-04","2017-Q2",1246200,0,"2017-04"
2017-04-30,61625,"10011","NY","New York","New York","New York",18,1494300,-0.00340136054421769,0.0263754378734803,0.200240963855422,0.125089654792535,,"2017-03","2017-Q1",1499400,-0.00340136054421769,"2017-03"
2017-04-30,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",19,175600,0.00285551113649343,0.0138568129330254,0.0726939523518632,0.0566687711072775,0.0101070478819811,"2017-04","2017-Q2",175600,0,"2017-04"
2017-04-30,71067,"30349","GA","Atlanta","Clayton","Riverdale",20,114400,-0.00866551126516464,0.0106007067137809,0.15438950554995,0.128519847290473,-0.0197813487975315,"2006-04","2006-Q2",142300,-0.196064652143359,"2001-05"
2017-04-30,93123,"79912","TX","El Paso","El Paso","El Paso",21,169200,-0.00353356890459364,-0.00294637595757219,0.00894454382826476,0,-0.00995285618113839,"2007-12","2007-Q4",189700,-0.108065366367949,"2006-06"
2017-04-30,96027,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",22,1305300,0.00593403205918619,0.0203236144766669,0.0552995391705069,0.109923215742703,0.0243487286755142,"2017-04","2017-Q2",1305300,0,"2017-04"
2017-04-30,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",23,380500,0.00131578947368421,0.0133155792276964,0.101621308627678,0.180454669960278,-0.0164831060043653,"2006-08","2006-Q3",468000,-0.186965811965812,"2004-11"
2017-04-30,61617,"10003","NY","New York","New York","New York",24,1300800,0.0380655973186498,0.0887177770338132,0.18772826880935,0.0928144516027607,0.0455406308578339,"2017-04","2017-Q2",1300800,0,"2017-04"
2017-04-30,61802,"10462","NY","New York","Bronx","New York",25,129000,0.018957345971564,0.0634789777411377,0.212406015037594,0.0658040700734646,,"2009-03","2009-Q1",131300,-0.0175171363290175,
2017-04-30,61796,"10456","NY","New York","Bronx","New York",26,339900,0.0116071428571429,0.0435984034387473,0.124751819986764,0.0429835187097896,,"2017-04","2017-Q2",339900,0,"2017-04"
2017-04-30,84615,"60613","IL","Chicago","Cook","Chicago",27,204900,0.00244618395303327,0.00737463126843658,0.0296482412060301,0.0375629937737976,-0.014946042544405,"2007-09","2007-Q3",241500,-0.151552795031056,"2002-03"
2017-04-30,66133,"20009","DC","Washington","District of Columbia","Washington",28,567300,-0.00351308624626735,0.0146664281881595,0.076879271070615,0.0532397647243732,0.025527400358611,"2017-03","2017-Q1",569300,-0.00351308624626735,"2017-03"
