pedestrian,bicycle,approval,familiarity,ZipCode
1,1,0,1,15201
1,0,0,0,15201
1,0,0,0,15201
1,2,0,1,15201
0,1,1,1,15201
1,2,1,1,15201
1,1,1,0,15201
1,1,1,1,15201
1,0,1,1,15201
2,1,0,1,15201
1,1,0,0,15201
0,1,1,1,15201
1,1,1,1,15201
1,1,1,1,15201
0,1,1,0,15201
1,1,1,1,15201
0,1,1,1,15201
1,1,2,1,15201
1,1,1,1,15201
1,1,1,0,15201
0,1,1,1,15201
1,0,1,1,15201
1,0,1,1,15201
1,1,1,1,15201
0,1,1,0,15201
1,1,1,1,15201
1,1,1,1,15201
1,1,1,1,15201
1,0,2,1,15201
1,1,1,1,15201
1,1,0,1,15201
1,1,1,0,15201
1,0,2,0,15201
0,0,0,1,15201
1,2,1,1,15201
0,1,1,1,15201
0,0,0,1,15201
2,2,1,1,15201
0,1,0,1,15201
1,1,1,1,15201
0,0,1,1,15201
0,0,1,1,15201
0,0,1,1,15201
1,1,1,1,15201
0,0,0,1,15201
0,0,1,1,15201
0,0,0,0,15201
1,2,2,0,15201
1,1,1,1,15201
1,1,0,1,15201
0,1,1,1,15201
1,0,1,1,15201
1,1,1,1,15201
1,1,0,0,15201
0,2,1,1,15201
1,0,1,1,15201
1,0,1,1,15201
1,1,1,1,15201
1,1,1,1,15201
1,2,1,0,15201
1,0,1,1,15201
1,1,1,1,15201
0,2,1,1,15201
0,0,0,0,15201
0,0,1,1,15201
1,0,1,0,15201
2,0,1,1,15201
1,1,1,1,15201
0,0,1,1,15201
0,1,1,0,15202
1,0,1,0,15202
0,1,2,1,15202
1,1,1,1,15202
1,1,1,1,15202
0,2,1,0,15202
0,1,0,0,15202
0,0,0,0,15202
0,0,1,1,15202
0,0,1,0,15202
1,1,1,1,15202
0,1,1,1,15202
0,1,1,1,15202
0,1,1,1,15202
1,1,1,1,15202
0,0,1,1,15202
0,1,1,0,15203
2,2,1,1,15203
1,1,1,1,15203
1,1,2,1,15203
1,1,1,1,15203
1,1,2,1,15203
0,1,1,1,15203
1,1,0,0,15203
0,1,1,1,15203
1,2,1,1,15203
0,1,0,1,15203
0,1,1,1,15203
0,1,1,1,15203
0,1,1,1,15203
1,1,1,1,15203
1,0,0,1,15203
2,2,1,0,15203
0,1,1,1,15203
1,1,1,1,15203
0,1,1,1,15203
0,0,0,1,15203
0,0,1,0,15203
0,0,0,0,15203
0,0,1,1,15203
0,0,1,1,15203
0,1,1,1,15203
0,0,2,0,15203
0,1,1,1,15203
0,0,1,1,15203
0,0,0,0,15203
0,0,1,1,15203
0,1,1,1,15203
0,0,1,0,15203
0,0,1,1,15203
0,0,1,1,15203
2,0,1,0,15203
0,0,0,1,15204
2,1,1,1,15204
0,1,1,1,15204
2,2,1,1,15204
0,0,2,1,15204
0,0,1,1,15204
1,1,1,1,15205
0,1,1,1,15205
1,1,1,1,15205
0,1,1,1,15205
0,0,0,1,15205
0,0,2,1,15205
1,1,1,1,15205
0,0,1,1,15205
0,0,1,1,15206
1,0,1,1,15206
0,1,2,0,15206
0,0,2,1,15206
0,1,1,1,15206
1,1,0,0,15206
0,1,2,1,15206
1,0,2,1,15206
1,0,2,0,15206
1,1,0,1,15206
1,1,0,1,15206
1,0,1,1,15206
2,1,0,1,15206
1,1,1,0,15206
1,1,1,1,15206
1,1,1,1,15206
1,1,1,1,15206
1,1,1,1,15206
0,1,1,1,15206
1,1,0,0,15206
1,2,1,0,15206
1,1,1,0,15206
0,1,1,1,15206
1,0,0,0,15206
1,1,1,1,15206
0,0,2,0,15206
1,1,1,0,15206
1,1,1,1,15206
0,1,1,1,15206
0,1,1,1,15206
0,1,1,1,15206
1,1,0,1,15206
1,1,1,1,15206
0,1,1,1,15206
1,1,1,1,15206
1,1,1,1,15206
0,1,1,0,15206
0,1,0,1,15206
0,1,1,0,15206
0,1,1,1,15206
1,1,1,1,15206
1,0,2,0,15206
0,0,2,0,15206
0,0,1,1,15206
2,2,1,0,15206
0,0,1,1,15206
0,0,1,1,15206
0,2,2,0,15206
0,0,2,0,15206
1,1,2,1,15206
0,0,0,0,15206
0,0,1,1,15206
0,1,2,1,15206
0,0,1,1,15206
0,1,1,1,15206
0,0,1,1,15206
0,1,1,0,15206
0,0,1,1,15206
0,0,0,1,15206
0,0,1,1,15206
2,2,1,0,15206
0,0,1,0,15206
0,1,0,1,15206
0,0,1,0,15206
1,0,0,0,15206
1,1,1,1,15206
1,1,1,1,15206
1,0,0,1,15206
1,1,1,1,15206
0,1,1,1,15206
1,0,2,1,15206
1,1,1,1,15206
1,1,1,1,15206
1,0,1,1,15206
1,1,1,0,15206
1,0,1,0,15206
1,0,1,1,15206
1,0,1,0,15206
0,1,1,1,15206
1,1,2,0,15206
1,1,2,0,15206
2,1,1,1,15206
1,0,1,0,15206
1,1,1,1,15206
0,0,1,1,15206
0,0,1,0,15206
1,0,0,1,15206
1,0,1,1,15206
0,0,2,0,15206
2,2,0,0,15206
0,0,1,0,15206
0,0,0,1,15206
0,0,1,1,15206
2,1,1,1,15206
2,0,1,1,15206
2,2,2,1,15206
2,0,1,1,15206
1,1,1,1,15206
1,1,1,1,15206
2,2,0,0,15206
2,0,1,1,15206
0,0,2,0,15206
1,1,0,1,15207
1,1,1,1,15207
0,1,1,1,15207
0,1,1,1,15207
1,1,1,0,15207
1,1,1,1,15207
0,1,0,1,15207
1,0,1,1,15207
1,0,1,0,15207
0,1,1,1,15207
0,0,1,1,15207
0,0,0,0,15207
2,2,1,0,15207
1,0,1,1,15207
0,0,1,1,15207
0,0,2,0,15207
0,0,0,1,15207
0,0,2,1,15207
1,1,1,1,15208
0,1,2,1,15208
1,2,1,1,15208
1,1,1,1,15208
1,1,0,0,15208
1,1,1,1,15208
1,1,1,1,15208
2,1,1,0,15208
1,1,1,0,15208
2,2,2,1,15208
0,1,1,1,15208
1,1,2,1,15208
1,1,1,1,15208
1,1,1,1,15208
2,2,1,1,15208
0,0,1,0,15208
0,0,0,0,15208
0,1,1,1,15208
0,0,1,1,15208
0,0,0,1,15208
1,1,1,1,15208
0,1,0,1,15208
1,0,2,0,15208
0,1,2,1,15208
1,0,1,1,15208
1,0,1,0,15208
1,1,1,1,15208
0,2,1,0,15208
0,1,0,0,15209
1,1,1,1,15209
0,1,1,1,15209
0,0,1,1,15209
0,1,2,1,15209
2,0,1,0,15209
1,1,0,1,15209
0,0,1,1,15209
0,0,1,1,15209
1,1,0,1,15209
1,0,1,1,15209
2,2,0,0,15209
0,0,1,0,15209
1,1,1,1,15210
1,1,1,0,15210
0,1,1,1,15210
0,0,1,1,15210
1,1,2,1,15210
0,0,2,1,15210
0,0,1,0,15210
1,0,1,1,15211
0,1,0,1,15211
2,1,1,1,15211
0,1,1,1,15211
0,1,1,0,15211
1,0,0,1,15211
1,1,1,1,15211
0,0,1,1,15211
0,0,2,0,15211
0,0,2,1,15211
0,0,1,1,15211
0,0,2,0,15211
0,2,2,1,15211
0,0,1,0,15211
0,1,1,1,15211
1,0,1,1,15211
1,0,1,1,15211
0,0,1,0,15211
0,0,1,1,15211
0,0,1,1,15211
0,1,1,0,15212
2,1,1,1,15212
1,1,0,1,15212
1,0,2,1,15212
2,0,1,0,15212
1,0,1,1,15212
1,0,0,1,15212
0,1,1,0,15212
0,1,2,1,15212
1,1,1,1,15212
1,1,1,1,15212
1,1,1,1,15212
2,2,2,0,15212
1,1,1,1,15212
1,1,1,0,15212
1,2,1,1,15212
1,1,1,1,15212
1,0,1,1,15212
0,1,1,1,15212
1,1,1,1,15212
1,0,1,0,15212
1,0,0,0,15212
1,1,0,0,15212
0,1,1,0,15212
2,1,1,1,15212
1,1,2,1,15212
1,1,1,0,15212
1,0,1,0,15212
1,1,1,1,15212
1,1,1,1,15212
2,2,1,1,15212
1,0,1,1,15212
0,1,1,0,15212
2,2,1,1,15212
0,0,0,0,15212
0,0,2,0,15212
0,0,0,1,15212
0,0,1,1,15212
2,2,1,0,15212
0,0,1,0,15212
0,1,1,1,15212
0,0,0,0,15212
0,0,1,1,15212
0,0,2,0,15212
0,0,0,0,15212
0,0,1,1,15212
0,0,0,0,15212
2,2,1,1,15212
0,2,2,0,15212
0,0,1,1,15212
1,1,2,1,15212
1,1,1,1,15212
1,1,1,1,15212
0,1,1,1,15212
1,1,2,0,15212
1,1,1,1,15212
0,1,1,0,15212
0,1,1,1,15212
1,1,1,1,15212
0,1,1,1,15212
0,1,1,1,15212
1,1,1,1,15212
1,1,0,1,15212
0,1,1,1,15212
1,1,1,1,15212
1,1,1,1,15212
0,0,2,0,15212
2,0,0,0,15212
0,0,1,1,15212
0,0,1,0,15212
1,0,0,0,15213
1,1,0,1,15213
1,1,1,1,15213
1,1,0,1,15213
1,2,1,1,15213
1,1,2,1,15213
1,1,1,1,15213
0,1,2,1,15213
1,1,1,0,15213
1,1,1,1,15213
2,1,1,1,15213
0,2,1,1,15213
2,1,1,0,15213
0,1,1,1,15213
1,1,2,1,15213
0,1,1,1,15213
0,0,1,0,15213
0,0,1,1,15213
0,0,1,1,15213
0,0,1,1,15213
0,0,0,1,15213
0,0,1,0,15213
0,1,1,1,15213
0,0,1,1,15213
1,1,0,0,15213
0,1,0,0,15213
1,1,1,1,15213
1,2,1,1,15213
1,1,1,1,15213
2,1,1,1,15213
1,1,1,0,15213
1,2,1,1,15213
2,1,1,1,15213
1,1,1,1,15214
1,1,1,1,15214
0,0,1,1,15214
0,0,2,0,15214
1,1,1,1,15214
0,0,1,0,15214
1,0,0,1,15215
0,1,1,1,15215
1,1,1,1,15215
0,1,1,1,15215
0,2,1,1,15215
0,0,1,1,15215
0,0,1,1,15215
0,0,1,0,15215
0,0,2,0,15215
1,0,1,1,15215
2,1,1,1,15215
0,0,0,1,15215
0,0,2,0,15215
1,0,1,1,15216
1,0,2,0,15216
0,1,1,1,15216
1,0,2,0,15216
0,0,1,1,15216
1,1,1,1,15216
2,1,1,1,15216
0,0,2,1,15216
0,0,1,0,15216
1,0,1,1,15216
0,0,2,0,15216
2,2,2,1,15216
2,1,1,0,15216
1,0,1,0,15216
0,1,1,1,15216
0,1,1,0,15216
0,0,1,1,15216
0,0,1,0,15216
0,1,0,1,15217
1,0,2,1,15217
1,1,0,1,15217
1,0,1,1,15217
1,1,1,0,15217
0,1,1,1,15217
2,1,1,0,15217
0,1,1,1,15217
1,0,1,1,15217
2,1,2,1,15217
1,0,1,1,15217
1,1,0,0,15217
1,0,1,1,15217
0,1,1,0,15217
0,1,1,1,15217
0,1,1,1,15217
1,2,1,0,15217
1,0,2,1,15217
0,1,1,1,15217
1,1,1,1,15217
0,1,1,1,15217
1,1,1,1,15217
1,2,1,0,15217
0,1,1,1,15217
1,2,1,1,15217
1,1,1,1,15217
0,1,2,1,15217
0,1,0,0,15217
2,1,1,1,15217
0,1,1,0,15217
1,0,2,1,15217
1,0,1,1,15217
2,1,1,1,15217
1,1,1,0,15217
1,1,1,1,15217
2,2,1,1,15217
0,2,1,1,15217
0,2,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,0,15217
0,0,1,1,15217
2,0,1,0,15217
0,1,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
2,2,1,1,15217
0,1,1,1,15217
0,2,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,1,0,1,15217
1,0,1,1,15217
2,2,1,1,15217
1,1,1,1,15217
0,2,1,1,15217
1,2,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,2,1,15217
0,1,0,1,15217
0,0,1,1,15217
0,0,1,1,15217
2,2,2,0,15217
0,0,1,1,15217
2,2,0,0,15217
0,0,1,0,15217
1,1,1,1,15217
0,1,1,1,15217
1,1,1,1,15217
1,1,0,1,15217
1,1,1,1,15217
1,1,1,0,15217
1,1,1,1,15217
1,1,1,1,15217
1,1,1,1,15217
0,0,1,1,15217
1,1,1,1,15217
1,1,1,1,15217
2,1,1,1,15217
0,1,2,1,15217
1,1,2,1,15217
1,1,1,1,15217
0,1,1,1,15217
1,0,1,1,15217
1,0,1,1,15217
1,1,1,1,15217
1,1,1,0,15217
1,1,1,1,15217
1,1,1,1,15217
1,1,2,1,15217
1,0,1,1,15217
1,1,1,0,15217
1,0,1,0,15217
1,1,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,2,0,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,0,0,15217
1,0,1,1,15217
2,2,1,1,15217
0,0,0,1,15217
0,0,1,0,15217
1,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,0,0,15217
0,0,1,1,15217
0,0,1,1,15217
0,0,1,0,15217
0,1,1,1,15217
1,1,1,0,15218
1,1,1,1,15218
0,1,0,0,15218
